county_fips,year,state,county_name,dem_votes,rep_votes,dem_share,rep_share,turnout,population,mean_age,share_age_18_34,share_age_65_plus,share_college,share_no_hs,unemployment_rate,share_labor_force,median_wage,mean_wage,share_white,share_black,share_hispanic,share_poverty
17091,2000,ILLINOIS,KANKAKEE,19180.0,20049.0,0.48892401029850363,0.5110759897014964,40183,104042.0,35.30423290594183,0.2333288479652448,0.127832990523058,0.10134368812594914,0.2908921397128083,0.06984034833091436,0.49667441994579115,24000.0,28233.77123245172,0.8260510178581727,0.16221333692162782,0.048634205417043115,0.10834176492391533
17091,2008,ILLINOIS,KANKAKEE,24750.0,22527.0,0.5235103750237959,0.47648962497620406,48016,111198.0,36.20092087987194,0.24768431086890053,0.13248439720138852,0.12430079677692045,0.25457292397345277,0.07543896913055792,0.5080666918469756,28832.0,32297.051283388075,0.8343225597582691,0.1493012464252954,0.07165596503534236,0.11111320080495006
17091,2012,ILLINOIS,KANKAKEE,21595.0,23136.0,0.4827748094162885,0.5172251905837115,45509,113021.0,37.276417656895624,0.2245954291680307,0.13617823236389698,0.12104830075826617,0.24312295945001372,0.10511491866322423,0.49005936949770396,29494.0,35644.831609934234,0.8250325160810823,0.16240344714699037,0.09200060165809894,0.14045825486503452
17091,2016,ILLINOIS,KANKAKEE,18971.0,25129.0,0.4301814058956916,0.5698185941043084,47305,332692.0,38.517235160448706,0.22427049643514121,0.15279898524761643,0.1404181645485915,0.2346103903911125,0.06763891293058681,0.4862034554482825,30000.0,38766.769040947685,0.7896102100441249,0.1580741346350378,0.10140309956356029,0.11536386600489978
17091,2020,ILLINOIS,KANKAKEE,20271.0,28532.0,0.41536380960186875,0.5846361903981313,49902,109773.0,38.9953449391016,0.23202426826268754,0.16539586237052828,0.13813050567990307,0.21791333023603254,0.05716381694035325,0.484299417889645,33051.0,41190.16532923145,0.7838630628660964,0.14881619341732485,0.10632851429768704,0.1265561757879189
17091,2024,ILLINOIS,KANKAKEE,18399.0,28285.0,0.39411789906606115,0.6058821009339388,47569,107035.0,39.64609707105153,0.23649273602092774,0.1846779090951558,0.15266968748540197,0.21140748353342365,0.056730893812353085,0.504760125192694,34000.0,47249.09654876021,0.733414303732424,0.13939365628065586,0.11637314896996309,0.10604679729756504
17093,2024,ILLINOIS,KENDALL,32977.0,31970.0,0.5077524750950775,0.49224752490492246,66397,420243.0,35.768205538224315,0.21927313482913457,0.1156973465352189,0.26304066932703224,0.23105679333147727,0.05143412858740838,0.5701177651977546,53500.0,61469.388525135946,0.6462618056695769,0.08536013687319004,0.2314375254317145,0.038574145348601374
17097,2000,ILLINOIS,LAKE,115058.0,120988.0,0.4874388890301043,0.5125611109698957,242164,644850.0,33.0396727921222,0.2254415755602078,0.084025742420718,0.24713499263394587,0.2982414515003489,0.041803658151816546,0.5259099015274871,31000.0,46294.50399386046,0.8822982088857874,0.07263394587888657,0.14684810421028147,0.05349408572212603
17097,2008,ILLINOIS,LAKE,177242.0,118545.0,0.599221737263639,0.40077826273636097,299105,707155.0,34.57731049062794,0.21887422135175458,0.09388465046559806,0.2629847770290813,0.2812495138972361,0.05793710540052093,0.5391194292623258,40579.0,53958.0482513055,0.867129554340986,0.07010061443389357,0.19441706556554078,0.059308289387067135
17097,2012,ILLINOIS,LAKE,153757.0,129764.0,0.5423125623851496,0.4576874376148504,287493,701710.0,36.28536289920338,0.2034572686722435,0.10758575479899103,0.2788131849339471,0.2578586595602172,0.09745006329817944,0.5380826837297459,40000.0,55633.95472888327,0.8535064342819684,0.07546707329238575,0.202451155035556,0.09205263657818402
